Iteration,g,Energy,Trace,Rescaled Energy,Exact Energy,Exact Trace,Params
11,0.4,-0.9496926118173236,0.04567827840387029,-1.0135894860050516,-1.0040611159883157,2.60756419704156e-05,"[-0.00125812 -0.01271343  0.02575717 -0.01928298 -0.04222875  0.02551896
 -0.01021619  0.00743365]"
12,0.4,-0.9312332519680908,0.05244512552267122,-0.9942382177702105,-1.004996378269607,0.00010575368510416187,"[-0.00370149 -0.01027006  0.02331379 -0.02172635 -0.03978538  0.02796234
 -0.01265956  0.00987702]"
13,0.4,-0.9161818537094293,0.05472626260733526,-0.9786851210446442,-1.001293781308914,0.00030479799842166033,"[ 0.00643536 -0.02040691  0.01317695 -0.0115895  -0.04992223  0.03809918
 -0.00252271 -0.00025983]"
14,0.4,-0.9128197149864614,0.04083795738628382,-0.9750024527455983,-1.004327672420004,0.0005249443517625491,"[ 0.01414164 -0.01270062  0.02088323 -0.01929578 -0.05762851  0.04580546
 -0.010229    0.00744645]"
15,0.4,-0.8909375861571266,0.05987296173155454,-0.9520611827083535,-1.006837262940462,0.0007680038046409265,"[ 0.02093273 -0.00590953  0.02767432 -0.01250469 -0.0644196   0.05259656
 -0.01702009  0.01423755]"
16,0.4,-0.8827504743454146,0.0466795114445111,-0.9434559888408875,-1.0031647920113755,0.0004570295273120806,"[ 0.02987004  0.00302778  0.03661163 -0.00356738 -0.05548229  0.04365925
 -0.00808278  0.02317486]"
17,0.4,-0.8750156839139113,0.03694403730263063,-0.9354424770388816,-1.002497906154531,0.0004034718541734983,"[ 0.02804115  0.00119889  0.03844053 -0.00539627 -0.05731119  0.04548814
 -0.00625389  0.02134597]"
18,0.4,-0.8818718706665873,0.04304848422168717,-0.9425495130250099,-1.004811779890042,0.0006065786778073345,"[ 0.02161742 -0.00522484  0.0320168  -0.01182    -0.05088746  0.05191187
 -0.01267762  0.01492224]"
19,0.4,-0.8828319367378206,0.028768557250762106,-0.9436768119185448,-1.0049416397638196,0.0005928877848246916,"[ 0.02201247 -0.0056199   0.03241185 -0.01142495 -0.05049241  0.05230692
 -0.01307267  0.01452718]"
20,0.4,-0.9097332051186239,0.02937858022168993,-0.9719020068092357,-1.0049727983634509,0.0006037398828351338,"[ 0.02190781 -0.00551523  0.03230719 -0.01132029 -0.05038774  0.05241159
 -0.01317733  0.01463185]"
21,0.4,-0.9012678066036607,0.04349091566923624,-0.9631021426496693,-1.0053110516439119,0.0005682045288703114,"[ 0.02086955 -0.00655349  0.03334545 -0.01235855 -0.04934948  0.05344985
 -0.01421559  0.01359359]"
22,0.4,-0.8926551041428414,0.043623332119356206,-0.9537787006940683,-1.005628502478794,0.0006600991096193699,"[ 0.01999459 -0.00567854  0.03247049 -0.01148359 -0.05022444  0.05432481
 -0.01509055  0.01446854]"
23,0.4,-0.9081477138895664,0.029910061383963793,-0.9698008810447483,-1.007562146665805,0.0008882224961010189,"[ 0.01417585  0.00014021  0.03828923 -0.00566485 -0.05604318  0.06014355
 -0.02090929  0.02028728]"
24,0.4,-0.9387641580437402,0.05350873187796057,-1.0018806123940611,-1.0067080861561408,0.0007516650484059063,"[ 0.01756007 -0.00324402  0.034905   -0.00904908 -0.05942741  0.05675932
 -0.01752506  0.01690306]"
25,0.4,-0.9117644187825561,0.05080207941318249,-0.9738217319249668,-1.003405529607062,0.0004775949622986553,"[ 0.02541726 -0.01110121  0.04276219 -0.00119189 -0.05157022  0.04890213
 -0.00966787  0.02476025]"
26,0.4,-0.9156766537666059,0.04658385589120062,-0.9778733275942679,-1.002592244211246,0.00040961068310122264,"[ 0.02770524 -0.01338919  0.04505017 -0.00347987 -0.0538582   0.05119011
 -0.00737989  0.02247227]"
27,0.4,-0.9264703011354971,0.045284565449381864,-0.9894613308690916,-1.0039571775038894,0.0001937036543424621,"[ 0.02472542 -0.01636901  0.04803    -0.00050004 -0.05683802  0.04821028
 -0.01035972  0.01949244]"
